latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
61.25,-71.25,0.40549999999999997,0.313,0.2,0.0,0.996,True
61.25,-70.75,0.45875,0.441,0.0,0.004,0.949,True
61.25,-70.25,0.49824999999999997,0.4965,0.0,0.0,1.0,True
61.25,-69.75,0.47750000000000004,0.455,0.0,0.0,1.0,True
61.25,-69.25,0.48524999999999996,0.4705,0.0,0.0,1.0,True
61.25,-68.75,0.66625,0.8325,0.8,0.0,1.0,True
61.25,-68.25,0.7265,0.8899999999999999,0.8,0.126,1.0,True
61.25,-67.75,0.7294999999999999,0.9195,0.8,0.079,1.0,True
61.25,-67.25,0.68725,0.829,0.0,0.091,1.0,True
61.25,-66.75,0.85725,0.9704999999999999,0.8,0.488,1.0,True
61.25,-66.25,0.9005,0.9055,0.8,0.795,0.996,True
61.25,-65.75,0.936,0.9410000000000001,0.8,0.862,1.0,True
61.25,-65.25,0.6535,0.7655000000000001,0.8,0.15,0.933,True
61.25,-64.75,0.74625,0.772,0.4,0.441,1.0,True
61.25,-64.25,0.72325,0.8955,0.8,0.106,0.996,True
61.25,-63.75,0.813,0.9055,0.8,0.441,1.0,True
61.25,-63.25,0.87975,0.992,0.8,0.535,1.0,True
61.25,-62.75,0.8975,0.8955,0.8,0.799,1.0,True
60.75,-79.75,0.7115,0.732,0.2,0.382,1.0,True
60.75,-79.25,0.6505,0.681,0.2,0.24,1.0,True
60.75,-78.75,0.51,0.512,0.0,0.016,1.0,True
60.75,-78.25,0.6032500000000001,0.62,0.0,0.173,1.0,True
60.75,-77.75,0.6475,0.742,0.0,0.106,1.0,True
60.75,-77.25,0.5965,0.6890000000000001,0.0,0.008,1.0,True
60.75,-76.75,0.7875,0.9035,0.8,0.343,1.0,True
60.75,-76.25,0.7865,0.7324999999999999,0.6000000000000001,0.681,1.0,True
60.75,-75.75,0.7215,0.76,1.0,0.366,1.0,True
60.75,-75.25,0.76075,0.7695000000000001,0.4,0.504,1.0,True
60.75,-74.75,0.70675,0.742,1.0,0.343,1.0,True
60.75,-74.25,0.749,0.7835,0.4,0.429,1.0,True
60.75,-73.75,0.81775,0.931,1.0,0.409,1.0,True
60.75,-73.25,0.79125,0.852,0.8,0.461,1.0,True
60.75,-72.75,0.6695,0.6379999999999999,0.4,0.402,1.0,True
60.75,-72.25,0.492,0.40349999999999997,0.0,0.161,1.0,True
60.75,-71.75,0.303,0.118,0.0,0.0,0.976,True
60.75,-71.25,0.39649999999999996,0.293,0.0,0.0,1.0,True
60.75,-70.75,0.381,0.262,0.0,0.0,1.0,True
60.75,-70.25,0.38375000000000004,0.2795,0.0,0.043,0.933,True
60.75,-69.75,0.51275,0.5395,0.0,0.0,0.972,True
60.75,-69.25,0.56575,0.6315,0.0,0.0,1.0,True
60.75,-68.75,0.52275,0.5395,0.0,0.012,1.0,True
60.75,-68.25,0.5225,0.539,0.0,0.012,1.0,True
60.75,-67.75,0.51675,0.5255,0.0,0.016,1.0,True
60.75,-67.25,0.64575,0.7855,0.0,0.012,1.0,True
60.75,-66.75,0.683,0.7244999999999999,0.2,0.283,1.0,True
60.75,-66.25,0.875,0.8839999999999999,0.8,0.732,1.0,True
60.75,-65.75,0.9005,0.9545,1.0,0.693,1.0,True
60.75,-65.25,0.88,0.9195,0.8,0.681,1.0,True
60.75,-64.75,0.95775,0.9744999999999999,0.8,0.882,1.0,True
60.75,-64.25,0.83275,0.9055,0.8,0.52,1.0,True
60.75,-63.75,0.91525,0.925,0.8,0.811,1.0,True
60.75,-63.25,0.9735,0.9804999999999999,0.8,0.933,1.0,True
60.75,-62.75,0.9625,1.0,1.0,0.85,1.0,True
60.75,-62.25,0.9410000000000001,0.9645,0.8,0.835,1.0,True
60.25,-79.75,0.7845,0.8365,1.0,0.465,1.0,True
60.25,-79.25,0.7765,0.878,1.0,0.35,1.0,True
60.25,-78.75,0.632,0.756,1.0,0.016,1.0,True
60.25,-78.25,0.66025,0.669,0.2,0.303,1.0,True
60.25,-77.75,0.61425,0.628,0.2,0.201,1.0,True
60.25,-77.25,0.70975,0.7265,0.2,0.386,1.0,True
60.25,-76.75,0.7667499999999999,0.8049999999999999,0.4,0.457,1.0,True
60.25,-76.25,0.64075,0.7324999999999999,0.0,0.098,1.0,True
60.25,-75.75,0.5915,0.6515,0.0,0.063,1.0,True
60.25,-75.25,0.637,0.6930000000000001,0.8,0.213,0.949,True
60.25,-74.75,0.5945,0.7044999999999999,0.8,0.004,0.965,True
60.25,-74.25,0.377,0.40549999999999997,0.0,0.008,0.689,True
60.25,-73.75,0.42825,0.4095,0.0,0.0,0.894,True
60.25,-73.25,0.5325,0.565,0.0,0.0,1.0,True
60.25,-72.75,0.573,0.573,0.0,0.146,1.0,True
60.25,-72.25,0.5137499999999999,0.488,0.0,0.079,1.0,True
60.25,-71.75,0.40449999999999997,0.248,0.0,0.122,1.0,True
60.25,-71.25,0.40475,0.317,0.0,0.02,0.965,True
60.25,-70.75,0.46375,0.4255,0.0,0.016,0.988,True
60.25,-70.25,0.3425,0.185,0.0,0.0,1.0,True
60.25,-69.75,0.3435,0.187,0.0,0.0,1.0,True
60.25,-69.25,0.449,0.39,0.0,0.016,1.0,True
60.25,-68.75,0.55025,0.6005,0.0,0.0,1.0,True
